,Variable_0,Variable_1,Variable_2,Variable_3,Variable_4,Variable_5,Coefficient_0,Coefficient_1,Coefficient_2,Coefficient_3,Coefficient_4,Coefficient_5,Coefficient_const,PValue_0,PValue_1,PValue_2,PValue_3,PValue_4,PValue_5,PValue_const,VIF_0,VIF_1,VIF_2,VIF_3,VIF_4,VIF_5,AIC,BIC,Rsq,RMSE,AdjRsq,Significant_Variables,Multicolinearity,Base_MEV_ID,Durbin_Watson,BreuschPagan,jarque_bera,OVXCLS,DCOILWTICO,SP500,T10YIE,DBAA,VIXCLS
0,OVXCLS_lag0,,,,,,10.092998730782275,,,,,,14034.8445262408,0.537353431653567,,,,,,5.1576772766603996e-74,0.9999999999999998,,,,,,46368.75499180343,46380.03331414675,0.00018329659368820916,16943.570962391004,-0.0002983106815557246,Fail,Pass,0,0.001934182345089611,0.9853885238081217,4.024860976750075e-207,True,,,,,
1,OVXCLS_lag7,,,,,,12.014164248090836,,,,,,13959.879736761475,0.46281273610183493,,,,,,2.3437918500126145e-73,1.0,,,,,,46368.59618405481,46379.87450639813,0.00025970302903544074,16942.923532422465,-0.00022186744156726945,Fail,Pass,0,0.0019353126349978592,0.9015785765698433,2.80519766025086e-207,True,,,,,
2,OVXCLS_lag14,,,,,,13.244177621821017,,,,,,13911.994369337644,0.41834860358068837,,,,,,6.1301679795524e-73,1.0000000000000002,,,,,,46368.48017854489,46379.75850088821,0.0003155125313505369,16942.45061494089,-0.00016603105606227686,Fail,Pass,0,0.0019368650055337287,0.7971023707156089,1.926964196917622e-207,True,,,,,
3,DCOILWTICO_lag0,,,,,,672.2620144476089,,,,,,-22955.15221715514,2.9332378209239533e-140,,,,,,2.2478484800538166e-56,1.0,,,,,,45732.71194363326,45743.99026597658,0.26381037602559476,14539.16944265477,0.26345575674622357,Pass,Pass,1,0.007549719425891652,4.962815849882409e-36,1.5351364208691265e-89,,True,,,,
4,DCOILWTICO_lag7,,,,,,659.9206110033952,,,,,,-22176.94828106645,9.28461962283608e-131,,,,,,4.504499156539722e-51,1.0,,,,,,45776.44411357305,45787.722435916374,0.24815285068618298,14692.967927181346,0.2477906892462437,Pass,Pass,1,0.007437412196402997,1.7207841955904147e-36,3.2006543697613592e-90,,True,,,,
5,DCOILWTICO_lag14,,,,,,645.7119981593229,,,,,,-21301.66987150183,1.5492034311521315e-121,,,,,,6.483330198011674e-46,1.0,,,,,,45818.89112380068,45830.169446144,0.23263704591573253,14843.802467184005,0.23226741058139522,Pass,Pass,1,0.006991553092932406,4.167718756332976e-36,1.6833389691253315e-92,,True,,,,
6,SP500_lag0,,,,,,21.509830295105175,,,,,,-51107.90437442709,0.0,,,,,,0.0,1.0,,,,,,42687.01356857902,42698.291890922344,0.8299996752918252,6986.660291977092,0.8299177868887866,Pass,Pass,2,0.014323546195945915,4.697474051496195e-85,1.0849581419282115e-96,,,True,,,
7,SP500_lag7,,,,,,21.519713634013563,,,,,,-50962.882976881025,0.0,,,,,,0.0,0.9999999999999998,,,,,,42760.29515078394,42771.57347312726,0.8238975749847779,7110.9466461264765,0.8238127472270634,Pass,Pass,2,0.01630104804349679,2.639409358174534e-81,7.784749782277696e-122,,,True,,,
8,SP500_lag14,,,,,,21.49733810322655,,,,,,-50723.53939899879,0.0,,,,,,0.0,0.9999999999999998,,,,,,42839.979469743674,42851.257792086995,0.8170134914086752,7248.602546769053,0.8169253476184096,Pass,Pass,2,0.015961036593028066,2.5401203983551834e-80,2.452046240959579e-143,,,True,,,
9,T10YIE_lag0,,,,,,32373.084427470967,,,,,,-46706.48737406268,8.310499471166387e-261,,,,,,9.231991378990672e-166,0.9999999999999998,,,,,,45177.53676592008,45188.8150882634,0.4364141398043778,12721.10379519512,0.4361426629931082,Pass,Pass,3,0.006219177946339161,8.055697766323178e-43,1.9361238752350513e-31,,,,True,,
