date,CBBTCUSD,CBETHUSD,DBAA,DCOILWTICO,OVXCLS,SP500,T10YIE,VIXCLS
2016-05-18,455.56,13.18,4.74,48.12,42.87,2047.63,1.61,15.95
2016-05-19,438.38,14.9,4.7,48.16,42.4,2040.04,1.56,16.33
2016-05-20,445.65,14.17,4.71,47.67,40.17,2052.32,1.56,15.2
2016-05-23,445.67,13.61,4.7,48.12,39.44,2048.04,1.54,15.82
2016-05-24,446.99,12.77,4.71,48.04,38.02,2076.06,1.55,14.42
2016-05-25,451.49,12.61,4.74,49.1,35.94,2090.54,1.58,13.9
2016-05-26,454.97,12.47,4.69,49.0,36.56,2090.1,1.58,13.43
2016-05-27,471.27,10.98,4.7,49.36,35.97,2099.06,1.58,13.12
2016-05-31,531.34,14.16,4.68,49.1,38.08,2096.96,1.54,14.19
2016-06-01,534.84,13.93,4.67,49.07,40.0,2099.33,1.54,14.2
2016-06-02,537.87,14.03,4.64,49.14,36.64,2105.26,1.54,13.63
2016-06-03,571.25,13.98,4.57,48.69,34.81,2099.13,1.52,13.47
2016-06-06,586.77,14.22,4.59,49.71,35.61,2109.41,1.54,13.65
2016-06-07,579.71,14.52,4.58,50.37,36.19,2112.13,1.57,14.05
2016-06-08,583.21,14.64,4.56,51.23,35.17,2119.12,1.59,14.08
2016-06-09,577.46,14.71,4.53,50.52,35.9,2115.48,1.56,14.64
2016-06-10,580.31,13.91,4.5,49.09,39.95,2096.07,1.52,17.03
2016-06-13,706.01,17.89,4.48,48.89,42.72,2079.06,1.47,20.97
2016-06-14,684.95,18.79,4.5,48.49,43.07,2075.32,1.45,20.5
2016-06-15,698.78,18.42,4.5,47.92,42.58,2071.5,1.47,20.14
2016-06-16,769.76,20.99,4.47,46.14,44.49,2077.99,1.42,19.37
2016-06-17,752.26,15.65,4.51,48.0,41.35,2071.22,1.42,19.41
2016-06-20,703.12,11.81,4.54,49.4,38.99,2083.25,1.43,18.37
2016-06-21,667.66,13.89,4.57,48.95,40.37,2088.9,1.43,18.48
2016-06-22,604.5,13.18,4.55,49.16,43.25,2085.45,1.44,21.17
2016-06-23,631.1,13.81,4.6,49.34,40.1,2113.32,1.5,17.25
2016-06-24,669.98,14.55,4.55,46.7,43.33,2037.41,1.42,25.76
2016-06-27,657.87,14.1,4.42,45.8,42.85,2000.54,1.34,23.85
2016-06-28,648.43,12.23,4.41,47.93,40.18,2036.09,1.37,18.75
2016-06-29,639.42,12.74,4.4,49.85,38.29,2070.77,1.4,16.64
2016-06-30,673.49,12.49,4.41,48.27,38.09,2098.86,1.4,15.63
2016-07-01,678.19,12.34,4.32,49.02,36.18,2102.95,1.43,14.77
2016-07-05,669.87,10.6,4.2,46.73,40.08,2088.55,1.4,15.58
2016-07-06,678.79,10.61,4.21,47.37,41.43,2099.73,1.43,14.96
